@relation 'AT: pml-training-weka.filters.unsupervised.attribute.Remove-R2-7,12-13,15-36,50-59,69-83,87-101,103-112,125-139,141-150-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.Remove-R54-weka.filters.unsupervised.attribute.Standardize_principal components'

@attribute 0.317accel_belt_y-0.317accel_belt_z+0.308roll_belt+0.304total_accel_belt-0.269accel_arm_y... numeric
@attribute '0.294accel_belt_x-0.292pitch_belt+0.29 magnet_belt_x-0.266yaw_dumbbell+0.253yaw_belt...' numeric
@attribute '0.37 magnet_arm_y+0.307magnet_arm_z+0.275accel_arm_z-0.266magnet_arm_x+0.23 pitch_arm...' numeric
@attribute 0.453gyros_forearm_z+0.452gyros_dumbbell_z-0.451gyros_dumbbell_x+0.409gyros_forearm_y+0.352gyros_dumbbell_y... numeric
@attribute '-0.334accel_forearm_z+0.329magnet_forearm_z-0.277magnet_arm_z+0.27 magnet_belt_y+0.267accel_arm_x...' numeric
@attribute '0.401accel_forearm_y+0.284yaw_forearm+0.224magnet_forearm_y+0.22 magnet_dumbbell_z+0.217accel_arm_x...' numeric
@attribute 0.518gyros_arm_x-0.492gyros_arm_y+0.351magnet_forearm_y+0.224gyros_arm_z+0.188accel_forearm_y... numeric
@attribute 0.376magnet_forearm_x+0.333total_accel_arm-0.294roll_dumbbell+0.281accel_forearm_x-0.269pitch_dumbbell... numeric
@attribute '0.352pitch_dumbbell+0.35 magnet_forearm_x+0.345roll_dumbbell-0.306gyros_arm_y+0.3  gyros_arm_x...' numeric
@attribute -0.337magnet_forearm_y+0.306gyros_arm_x-0.297gyros_arm_y-0.278pitch_dumbbell-0.25total_accel_arm... numeric
@attribute '-0.425total_accel_arm+0.38 magnet_forearm_x+0.324accel_forearm_x-0.276pitch_arm-0.255total_accel_forearm...' numeric
@attribute '0.45 magnet_belt_z+0.374magnet_belt_y+0.309roll_arm-0.25roll_dumbbell-0.247accel_dumbbell_y...' numeric
@attribute -0.944kurtosis_yaw_belt-0.144yaw_arm+0.133total_accel_forearm-0.102roll_forearm-0.101pitch_forearm... numeric
@attribute classe {A,B,C,D,E}

@data
-4.338446,1.667302,2.779302,0.832772,1.298208,-2.061811,0.155627,2.743479,-0.027531,-0.266863,-0.711974,-0.913914,1.159184,A
-4.380666,1.675126,2.780512,0.836681,1.37037,-2.135229,0.20036,2.691075,0.006504,-0.299012,-0.695663,-0.822163,1.148226,A
-4.349481,1.693566,2.780662,0.833558,1.30375,-2.070231,0.183515,2.71893,0.005562,-0.288524,-0.702671,-0.841076,1.147456,A
-4.363105,1.685749,2.766673,0.832,1.316208,-2.108356,0.210596,2.687022,0.027673,-0.297199,-0.711114,-0.868422,1.149836,A
-4.351831,1.744086,2.73714,0.822823,1.328493,-2.151342,0.225427,2.693821,-0.017333,-0.320117,-0.654825,-0.829729,1.135971,A
-4.359108,1.715377,2.778396,0.829849,1.313074,-2.090985,0.192687,2.723773,0.008138,-0.270522,-0.690063,-0.87781,1.152261,A
-4.345832,1.666279,2.753797,0.831235,1.306206,-2.082066,0.204424,2.732089,-0.004505,-0.297132,-0.703488,-0.910224,1.155449,A
-4.349713,1.695889,2.771361,0.838041,1.330397,-2.107516,0.202692,2.738061,-0.006287,-0.284967,-0.689667,-0.882999,1.153052,A
-4.370989,1.704174,2.757674,0.825137,1.291424,-2.063819,0.176641,2.704042,0.003011,-0.27129,-0.6915,-0.872563,1.151537,A
-4.40028,1.730912,2.767299,0.831929,1.388954,-2.152785,0.21718,2.671833,-0.015907,-0.290004,-0.679807,-0.789546,1.141914,A
-4.363273,1.667336,2.70664,0.817962,1.235458,-2.065614,0.210385,2.75095,-0.035459,-0.273237,-0.706035,-0.986511,1.16596,A
-4.36744,1.667717,2.759413,0.831106,1.284959,-2.075724,0.193347,2.730504,-0.00721,-0.253699,-0.695656,-0.935819,1.161735,A
-4.390519,1.689836,2.763591,0.830417,1.370977,-2.133684,0.209646,2.698614,-0.006216,-0.291519,-0.676861,-0.835822,1.147578,A
-4.351364,1.633517,2.764941,0.825846,1.315616,-2.10394,0.188464,2.733728,-0.033219,-0.296148,-0.692583,-0.933387,1.162461,A
-4.384673,1.656591,2.754151,0.831058,1.279191,-2.065655,0.176039,2.74278,-0.037367,-0.26587,-0.706647,-0.922607,1.159183,A
